XLEw(m);ScaleFact;bc(m);XLEc(m);ScaleFact;Ecruise;WTO (kg);CLmax clean;M.S.S(%)
19.00;0.95;9.00;7.00;1.25;18.21;54980.11;2.71;-0.13
19.00;1.00;6.00;4.00;1.00;18.16;54791.88;1.93;0.04
19.00;1.00;6.00;4.00;1.05;18.16;54807.77;2.00;0.03
19.00;1.00;6.00;4.00;1.10;18.16;54823.79;2.07;0.03
19.00;1.00;6.00;4.00;1.15;18.15;54839.94;2.14;0.02
19.00;1.00;6.00;4.00;1.20;18.15;54856.20;2.21;0.02
19.00;1.00;6.00;4.00;1.25;18.14;54872.57;2.28;0.02
19.00;1.00;6.00;4.50;1.00;18.16;54791.88;1.89;0.05
19.00;1.00;6.00;4.50;1.05;18.15;54807.77;1.96;0.04
19.00;1.00;6.00;4.50;1.10;18.15;54823.79;2.03;0.04
19.00;1.00;6.00;4.50;1.15;18.14;54839.94;2.10;0.03
19.00;1.00;6.00;4.50;1.20;18.14;54856.20;2.16;0.03
19.00;1.00;6.00;4.50;1.25;18.14;54872.57;2.23;0.02
19.00;1.00;6.00;5.00;1.00;18.15;54791.88;1.85;0.06
19.00;1.00;6.00;5.00;1.05;18.15;54807.77;1.92;0.05
19.00;1.00;6.00;5.00;1.10;18.14;54823.79;1.98;0.05
19.00;1.00;6.00;5.00;1.15;18.14;54839.94;2.05;0.04
19.00;1.00;6.00;5.00;1.20;18.13;54856.20;2.12;0.04
19.00;1.00;6.00;5.00;1.25;18.13;54872.57;2.18;0.03
19.00;1.00;6.00;5.50;1.00;18.14;54791.88;1.81;0.06
19.00;1.00;6.00;5.50;1.05;18.14;54807.77;1.87;0.06
19.00;1.00;6.00;5.50;1.10;18.13;54823.79;1.94;0.05
19.00;1.00;6.00;5.50;1.15;18.13;54839.94;2.00;0.05
19.00;1.00;6.00;5.50;1.20;18.13;54856.20;2.07;0.05
19.00;1.00;6.00;5.50;1.25;18.12;54872.57;2.13;0.04
19.00;1.00;6.00;6.00;1.00;18.13;54791.88;1.77;0.07
19.00;1.00;6.00;6.00;1.05;18.13;54807.77;1.83;0.07
19.00;1.00;6.00;6.00;1.10;18.13;54823.79;1.89;0.06
19.00;1.00;6.00;6.00;1.15;18.12;54839.94;1.96;0.06
19.00;1.00;6.00;6.00;1.20;18.12;54856.20;2.02;0.05
19.00;1.00;6.00;6.00;1.25;18.11;54872.57;2.08;0.05
19.00;1.00;6.00;6.50;1.00;18.13;54791.88;1.73;0.08
19.00;1.00;6.00;6.50;1.05;18.12;54807.77;1.79;0.07
19.00;1.00;6.00;6.50;1.10;18.12;54823.79;1.85;0.07
19.00;1.00;6.00;6.50;1.15;18.11;54839.94;1.91;0.07
19.00;1.00;6.00;6.50;1.20;18.11;54856.20;1.97;0.06
19.00;1.00;6.00;6.50;1.25;18.11;54872.57;2.03;0.06
19.00;1.00;6.00;7.00;1.00;18.12;54791.88;1.68;0.09
19.00;1.00;6.00;7.00;1.05;18.11;54807.77;1.75;0.08
19.00;1.00;6.00;7.00;1.10;18.11;54823.79;1.80;0.08
19.00;1.00;6.00;7.00;1.15;18.10;54839.94;1.86;0.07
19.00;1.00;6.00;7.00;1.20;18.10;54856.20;1.92;0.07
19.00;1.00;6.00;7.00;1.25;18.10;54872.57;1.98;0.07
19.00;1.00;6.50;4.00;1.00;18.16;54818.44;2.05;0.01
19.00;1.00;6.50;4.00;1.05;18.15;54835.89;2.12;0.00
19.00;1.00;6.50;4.00;1.10;18.15;54853.48;2.20;-0.01
19.00;1.00;6.50;4.00;1.15;18.14;54871.20;2.28;-0.01
19.00;1.00;6.50;4.00;1.20;18.14;54889.05;2.35;-0.02
19.00;1.00;6.50;4.00;1.25;18.14;54907.01;2.43;-0.02
19.00;1.00;6.50;4.50;1.00;18.15;54818.44;2.00;0.01
19.00;1.00;6.50;4.50;1.05;18.15;54835.89;2.08;0.01
19.00;1.00;6.50;4.50;1.10;18.14;54853.48;2.15;0.00
19.00;1.00;6.50;4.50;1.15;18.14;54871.20;2.23;0.00
19.00;1.00;6.50;4.50;1.20;18.13;54889.05;2.30;-0.01
19.00;1.00;6.50;4.50;1.25;18.13;54907.01;2.37;-0.01
19.00;1.00;6.50;5.00;1.00;18.15;54818.44;1.96;0.02
19.00;1.00;6.50;5.00;1.05;18.14;54835.89;2.03;0.02
19.00;1.00;6.50;5.00;1.10;18.14;54853.48;2.11;0.01
19.00;1.00;6.50;5.00;1.15;18.13;54871.20;2.18;0.01
19.00;1.00;6.50;5.00;1.20;18.13;54889.05;2.25;0.00
19.00;1.00;6.50;5.00;1.25;18.12;54907.01;2.32;0.00
19.00;1.00;6.50;5.50;1.00;18.14;54818.44;1.92;0.03
19.00;1.00;6.50;5.50;1.05;18.13;54835.89;1.99;0.03
19.00;1.00;6.50;5.50;1.10;18.13;54853.48;2.06;0.02
19.00;1.00;6.50;5.50;1.15;18.13;54871.20;2.13;0.02
19.00;1.00;6.50;5.50;1.20;18.12;54889.05;2.20;0.01
19.00;1.00;6.50;5.50;1.25;18.12;54907.01;2.27;0.01
19.00;1.00;6.50;6.00;1.00;18.13;54818.44;1.87;0.04
19.00;1.00;6.50;6.00;1.05;18.13;54835.89;1.94;0.04
19.00;1.00;6.50;6.00;1.10;18.12;54853.48;2.01;0.03
19.00;1.00;6.50;6.00;1.15;18.12;54871.20;2.08;0.03
19.00;1.00;6.50;6.00;1.20;18.11;54889.05;2.15;0.02
