Cruise Altitude[ft];CruiseMachNumber;BlockFuel[kg];BlockTime[min]
26500;0.52;6755.384913;325.2054987
26500;0.53;6651.249153;319.9437914
26500;0.54;6558.431259;314.8812494
26500;0.55;6475.703305;310.0067329
26500;0.56;6401.432661;305.3070017
26500;0.57;6334.94719;300.7730516
26500;0.58;6275.548802;296.3964566
26500;0.59;6222.554999;292.1693287
26500;0.6;6175.323256;288.0842812
26500;0.61;6133.356716;284.1344181
26500;0.62;6096.278959;280.3132975
26500;0.63;6063.802052;276.6148935
26500;0.64;6035.606477;273.0335347
26750;0.64;6035.606477;273.0335347
26750;0.63;6063.802052;276.6148935
26750;0.62;6096.278959;280.3132975
26750;0.61;6133.356716;284.1344181
26750;0.6;6175.323256;288.0842812
26750;0.59;6222.554999;292.1693287
26750;0.58;6275.548802;296.3964566
26750;0.57;6334.94719;300.7730516
26750;0.56;6401.43266;305.3070017
26750;0.55;6475.703304;310.0067329
26750;0.54;6558.431259;314.8812494
26750;0.53;6651.249153;319.9437914
26750;0.52;6755.384913;325.2054987
26750;0.51;6870.15843;330.6720635
26750;0.5;6996.134326;336.3553165
26750;0.49;7133.135062;342.2678899
26750;0.48;7281.355236;348.4235102
26750;0.47;7442.149275;354.8371732
26750;0.46;7617.239988;361.5250865
26750;0.45;7808.66487;368.504752
27000;0.45;7654.484009;370.6416173
27000;0.46;7457.94043;363.7404584
27000;0.47;7277.959331;357.1235789
27000;0.48;7112.493209;350.7745949
27000;0.49;6959.790281;344.6781912
27000;0.5;6818.385869;338.82008
27000;0.51;6689.748558;333.1874666
27000;0.52;6571.193943;327.7677481
27000;0.53;6462.337182;322.5495303
27000;0.54;6362.753879;317.5221942
27000;0.55;6271.927688;312.6758134
27000;0.56;6190.405047;308.0072067
27000;0.57;6117.298246;303.5076104
27000;0.58;6051.090266;299.1638741
27000;0.59;5991.227639;294.9682904
27000;0.6;5937.147313;290.9136218
27000;0.61;5888.309014;286.9930725
27000;0.62;5844.197389;283.2002558
27000;0.63;5804.392985;279.52919
27000;0.64;5768.577818;275.9742767
27250;0.64;5768.577818;275.9742767
27250;0.63;5804.392985;279.52919
27250;0.62;5844.197389;283.2002558
27250;0.61;5888.309014;286.9930725
27250;0.6;5937.147313;290.9136218
27250;0.59;5991.227639;294.9682904
27250;0.58;6051.090266;299.163874
27250;0.57;6117.298244;303.5076103
27250;0.56;6190.405046;308.0072067
27250;0.55;6271.927688;312.6758134
27250;0.54;6362.753879;317.5221942
27250;0.53;6462.337182;322.5495303
27250;0.52;6571.193943;327.7677481
27250;0.51;6689.748558;333.1874666
27250;0.5;6818.385869;338.82008
27250;0.49;6959.790281;344.6781912
27250;0.48;7112.493209;350.7745949
27250;0.47;7277.959331;357.1235789
27250;0.46;7457.94043;363.7404584
27250;0.45;7654.484009;370.6416173
27500;0.45;7654.484009;370.6416173
27500;0.46;7457.94043;363.7404584
27500;0.47;7277.959331;357.1235789
27500;0.48;7112.493209;350.7745949
27500;0.49;6959.790281;344.6781912
27500;0.5;6818.385869;338.82008
27500;0.51;6689.748558;333.1874666
27500;0.52;6571.193943;327.7677481
27500;0.53;6462.337182;322.5495303
27500;0.54;6362.753879;317.5221942
