Time, Aircraft mass
 122.337767, 19501.329106
 122.339434, 19501.315829
 122.341101, 19501.302552
 122.342767, 19501.289273
 122.344434, 19501.275993
 122.346101, 19501.262714
 122.347767, 19501.249434
 122.349434, 19501.236154
 122.351101, 19501.222875
 122.352767, 19501.209595
 122.354434, 19501.196316
 122.356101, 19501.183036
 122.357767, 19501.169757
 122.359434, 19501.156475
 122.361101, 19501.143194
 122.362767, 19501.129912
 122.364434, 19501.116630
 122.366101, 19501.103348
 122.367767, 19501.090067
 122.369434, 19501.076785
 122.371101, 19501.063503
 122.372767, 19501.050221
 122.374434, 19501.036940
 122.376101, 19501.023656
 122.377767, 19501.010372
 122.379434, 19500.997088
 122.381101, 19500.983804
 122.382767, 19500.970520
 122.384434, 19500.957236
 122.386101, 19500.943952
 122.387767, 19500.930668
 122.389434, 19500.917384
 122.391101, 19500.904100
 122.392767, 19500.890815
 122.394434, 19500.877528
 122.396101, 19500.864242
 122.397767, 19500.850956
 122.399434, 19500.837670
 122.401101, 19500.824384
 122.402767, 19500.811098
 122.404434, 19500.797811
 122.406101, 19500.784525
 122.407767, 19500.771239
 122.409434, 19500.757951
 122.411101, 19500.744663
 122.412767, 19500.731374
 122.414434, 19500.718086
 122.416101, 19500.704798
 122.417767, 19500.691509
 122.419434, 19500.678221
 122.421101, 19500.664932
 122.422767, 19500.651644
 122.424434, 19500.638356
 122.426101, 19500.625066
 122.427767, 19500.611775
 122.429434, 19500.598484
 122.431101, 19500.585194
 122.432767, 19500.571903
 122.434434, 19500.558613
 122.436101, 19500.545322
 122.437767, 19500.532031
 122.439434, 19500.518741
 122.441101, 19500.505450
 122.442767, 19500.492158
 122.444434, 19500.478865
 122.446101, 19500.465572
 122.447767, 19500.452280
 122.449434, 19500.438987
 122.451101, 19500.425694
 122.452767, 19500.412401
 122.454434, 19500.399109
 122.456101, 19500.385816
 122.457767, 19500.372523
 122.459434, 19500.359229
 122.461101, 19500.345934
 122.462767, 19500.332639
 122.464434, 19500.319344
 122.466101, 19500.306049
 122.467767, 19500.292754
 122.469434, 19500.279459
 122.471101, 19500.266164
 122.472767, 19500.252869
 122.474434, 19500.239574
 122.476101, 19500.226278
 122.477767, 19500.212981
 122.479434, 19500.199683
 122.481101, 19500.186386
 122.482767, 19500.173089
 122.484434, 19500.159792
 122.486101, 19500.146495
 122.487767, 19500.133198
 122.489434, 19500.119901
 122.491101, 19500.106604
 122.492767, 19500.093305
 122.494434, 19500.080006
 122.496101, 19500.066707
 122.497767, 19500.053407
 122.499434, 19500.040108
 122.501101, 19500.026809
 122.502767, 19500.013510
 122.504434, 19500.000211
 122.506101, 19499.986911
 122.507767, 19499.973612
 122.509434, 19499.960311
 122.511101, 19499.947010
 122.512767, 19499.933708
 122.514434, 19499.920407
 122.516101, 19499.907106
 122.517767, 19499.893804
 122.519434, 19499.880503
 122.521101, 19499.867201
 122.522767, 19499.853900
 122.524434, 19499.840599
 122.526101, 19499.827295
 122.527767, 19499.813992
 122.529434, 19499.800688
 122.531101, 19499.787385
 122.532767, 19499.774081
 122.534434, 19499.760778
 122.536101, 19499.747474
 122.537767, 19499.734171
 122.539434, 19499.720867
 122.541101, 19499.707564
 122.542767, 19499.694258
 122.544434, 19499.680953
 122.546101, 19499.667647
 122.547767, 19499.654341
 122.549434, 19499.641036
 122.551101, 19499.627730
 122.552767, 19499.614424
 122.554434, 19499.601119
 122.556101, 19499.587813
