Ground distance, Rate of Climb
1032.631706,    0.000000
1032.641864,    0.000000
1032.651147,    0.000000
1032.735859,    0.000000
1033.293409,    0.000000
1036.249548,    0.000000
1043.353877,    0.000000
1049.800509,    0.000000
1056.213874,    0.000000
1062.606273,    0.000000
1068.969170,    0.000000
1075.322903,    0.000000
1081.642941,    0.000000
1087.931241,    0.000000
1094.195985,    0.000000
1100.430487,    0.000000
1106.645032,    0.000000
1112.828499,    0.000000
1118.979670,    0.000000
1125.112969,    0.000000
1131.223053,    0.000000
1131.747731,    0.004796
1132.272729,    0.009671
1132.794333,    0.014589
1133.318921,    0.019610
1133.845319,    0.024725
1134.372302,    0.029921
1134.899107,    0.035192
1135.427402,    0.040553
1135.954987,    0.045984
1136.483785,    0.051503
1137.013845,    0.057112
1137.542349,    0.062781
1138.073404,    0.068554
1138.603100,    0.074388
1139.135470,    0.080328
1139.667422,    0.086341
1140.199863,    0.092437
1140.733160,    0.098619
1141.268259,    0.104899
1141.803858,    0.111263
1142.340251,    0.117714
1142.873894,    0.124209
1143.411713,    0.130832
1143.949531,    0.137534
1144.486617,    0.144304
1145.026098,    0.151183
1145.565036,    0.158132
1146.105691,    0.165183
1146.647399,    0.172325
1147.188888,    0.179544
1147.731602,    0.186857
1148.275499,    0.194266
1148.820862,    0.201774
1149.366559,    0.209366
1149.913307,    0.217052
1150.460507,    0.224825
1151.007696,    0.232677
1151.556439,    0.240632
1152.104512,    0.248656
1152.654160,    0.256784
1153.205674,    0.265020
1153.757637,    0.273344
1154.311093,    0.281771
1154.863165,    0.290258
1155.415392,    0.298827
1155.969997,    0.307515
1156.526588,    0.316315
1157.080453,    0.325154
1157.637828,    0.334130
1158.196386,    0.343207
1158.757525,    0.352408
1159.316452,    0.361655
1159.876443,    0.371002
1160.439672,    0.380486
1161.004336,    0.390077
1161.570124,    0.399771
1162.132956,    0.409498
1162.701449,    0.419405
1162.815381,    0.421406
1162.823013,    0.421540
1162.826911,    0.421609
1162.830464,    0.421671
1162.858990,    0.422173
1162.942938,    0.423650
1163.138373,    0.427095
1163.510107,    0.433668
1164.069241,    0.443614
1164.640775,    0.453863
1165.214185,    0.464230
1165.784827,    0.474633
1166.359760,    0.485199
1166.934648,    0.495850
1167.511679,    0.506626
1168.088944,    0.517493
1168.667071,    0.528462
1169.247958,    0.539570
1169.830937,    0.550806
1170.411230,    0.562076
1170.994931,    0.573500
1171.577815,    0.584996
1172.160464,    0.596573
1172.747248,    0.608321
1173.335860,    0.620193
1173.925706,    0.632179
1174.519522,    0.644335
1175.113703,    0.656589
1175.706713,    0.668908
1176.303176,    0.681388
1176.901088,    0.693990
1177.498619,    0.706674
1178.096990,    0.719467
1178.699355,    0.732437
1179.303296,    0.745532
1179.908819,    0.758754
1180.517030,    0.772128
1181.124220,    0.785572
1181.735283,    0.799195
1182.344053,    0.812861
1182.957967,    0.826735
1183.571630,    0.840699
1184.186472,    0.854784
1184.803112,    0.869005
1185.427597,    0.883503
1186.045561,    0.897946
1186.667276,    0.912572
1187.288894,    0.927292
1187.914252,    0.942197
1188.543316,    0.957288
1189.171812,    0.972463
1189.805831,    0.987870
1190.441356,    1.003413
1191.078287,    1.019091
1191.715747,    1.034881
1192.354830,    1.050812
1192.998794,    1.066966
1193.644775,    1.083273
1194.285451,    1.099547
1194.931963,    1.116070
1195.581850,    1.132783
1196.234602,    1.149672
1196.887678,    1.166674
1197.541692,    1.183804
1198.200365,    1.201161
1198.859076,    1.218624
1199.523125,    1.236334
1200.188818,    1.254195
1200.853666,    1.272141
1201.522938,    1.290313
1202.200202,    1.308811
1202.873805,    1.327319
1203.545382,    1.345879
1204.227753,    1.364848
1204.908301,    1.383878
1205.596377,    1.403229
1206.281462,    1.422609
1206.965042,    1.442058
1207.659244,    1.461921
1208.352996,    1.481886
1209.056797,    1.502257
1209.755952,    1.522608
1210.464247,    1.543343
1211.169295,    1.564101
1211.877486,    1.585068
1212.591597,    1.606330
1213.307538,    1.627766
1214.025884,    1.649394
1214.750730,    1.671340
1215.472709,    1.693321
1216.202140,    1.715652
1216.928317,    1.738005
1217.667913,    1.760897
1218.399093,    1.783653
1219.136336,    1.806723
1219.876386,    1.830006
1220.617734,    1.853457
1221.367250,    1.877293
1222.114805,    1.901196
1222.865587,    1.925330
1223.621563,    1.949762
1224.374247,    1.974216
1225.136396,    1.999109
1225.901120,    2.024218
1226.676212,    2.049802
1227.440519,    2.075164
1228.214844,    2.100992
1228.998561,    2.127270
1229.778532,    2.153560
1230.559335,    2.180015
1231.348623,    2.206895
1232.134751,    2.233806
1232.918516,    2.260773
1233.720227,    2.288498
1234.527812,    2.316570
1235.334703,    2.344762
1236.146354,    2.373265
1236.945359,    2.401467
1237.760923,    2.430397
1238.571418,    2.459292
1239.404066,    2.489125
1240.242008,    2.519300
1241.072556,    2.549360
1241.904406,    2.579618
1242.728497,    2.609742
1243.559524,    2.640268
1244.387127,    2.670816
1245.233628,    2.702213
1246.077504,    2.733666
1246.916575,    2.765092
1247.772433,    2.797300
1248.618478,    2.829293
1249.475278,    2.861848
1250.340113,    2.894864
1251.199114,    2.927816
1252.049539,    2.960592
1252.913760,    2.994055
1253.775096,    3.027562
1254.649495,    3.061736
1255.498448,    3.095069
1256.364742,    3.129237
1257.236462,    3.163776
1258.115087,    3.198747
1258.990673,    3.233756
1259.867275,    3.268964
1260.749009,    3.304537
1261.634048,    3.340402
1262.501268,    3.375703
1263.367366,    3.411110
1264.259504,    3.447739
1265.137171,    3.483933
1266.002952,    3.519790
1266.887214,    3.556566
1267.769964,    3.593436
1268.651737,    3.630422
1269.531450,    3.667354
1270.422855,    3.704813
1271.304539,    3.741897
1272.202016,    3.779679
1273.088554,    3.817035
1273.981673,    3.854703
1274.873776,    3.892361
1275.758241,    3.929730
1276.651910,    3.967522
1277.545541,    4.005345
1278.457437,    4.043975
1279.364867,    4.082450
1280.267616,    4.120760
1281.166874,    4.158956
1282.079323,    4.197744
1282.969936,    4.235637
1283.876052,    4.274222
1284.787275,    4.313058
1285.686538,    4.351416
1286.594572,    4.390180
1287.511732,    4.429366
1288.422859,    4.468327
1289.337668,    4.507478
1290.255342,    4.546783
1291.160530,    4.585585
1292.081869,    4.625111
1292.998738,    4.664477
1293.927600,    4.704389
1294.836006,    4.743454
1295.764824,    4.783427
1296.690942,    4.823316
1297.611561,    4.862998
1298.527680,    4.902517
1299.457243,    4.942646
1300.389231,    4.982911
1301.324559,    5.023351
1302.261416,    5.063887
1303.203233,    5.104669
1304.136730,    5.145121
1305.082231,    5.186123
1306.021350,    5.226878
1306.959666,    5.267628
1307.892964,    5.308189
1308.831089,    5.348989
1309.484757,    5.377435
1309.773445,    5.390003
1310.715756,    5.431043
1311.666928,    5.472498
1312.605273,    5.513423
1313.559437,    5.555066
1314.500546,    5.596167
1315.436609,    5.637076
1316.395953,    5.679030
1317.347923,    5.720690
1318.301182,    5.762434
1319.261427,    5.804512
1320.216787,    5.846403
1321.178172,    5.888585
1322.138948,    5.930768
1323.094427,    5.972745
1324.061571,    6.015262
1325.029425,    6.057836
1325.993808,    6.100285
1326.958378,    6.142767
1327.917461,    6.185034
1328.889699,    6.227906
1329.859275,    6.270687
1330.830481,    6.313565
1331.806806,    6.356695
1332.766586,    6.399118
1333.728706,    6.441669
1334.695134,    6.484435
1335.670397,    6.527616
1336.637427,    6.570456
1337.614194,    6.613752
1338.592771,    6.657152
1339.571775,    6.700595
1340.541641,    6.743655
1341.522862,    6.787242
1342.502390,    6.830777
1343.478737,    6.874193
1344.452848,    6.917532
1345.439186,    6.961437
1346.425090,    7.005345
1347.411808,    7.049311
1348.408041,    7.093724
1349.398693,    7.137909
1350.392690,    7.182264
1351.377276,    7.226221
1352.366079,    7.270387
1353.366064,    7.315073
1354.360783,    7.359544
1355.355918,    7.404053
1356.357298,    7.448863
1357.363355,    7.493901
1358.366805,    7.538843
1359.371710,    7.583869
1360.373391,    7.628770
1361.373870,    7.673635
1362.383015,    7.718909
1363.383713,    7.763821
1364.388255,    7.808924
1365.395674,    7.854174
1366.402439,    7.899413
1367.409333,    7.944674
1368.419554,    7.990103
1369.433390,    8.035711
1370.449599,    8.081442
1371.469695,    8.127365
1372.496390,    8.173602
1373.506790,    8.219121
1374.521520,    8.264850
1375.535394,    8.310556
1376.543426,    8.356014
1377.572398,    8.402432
1378.591665,    8.448426
1379.623057,    8.494982
1380.228318,    8.522309
