Thickness;AR;X_lew;Etaykink;OEW (kg);DOC (M$_year);Block fuel (kg);LTO_Nox (kg);LTO_CO (kg);LTO UHC (kg);TOTAL GWP (kg);MS;LFL (m);TOFL (m)
15;11;10.3;26.5;12881.07367;12.857914;2098.370582;1.264277287;0.094099648;0.006129473;5431.500819;-1.571226;1225.682351;1345.871725
15;11;10.3;28;12881.70821;12.858237;2098.592656;1.264316337;0.094100582;0.00612968;5432.168957;-1.573103;1223.774469;1344.841821
15;11;10.3;29.79;12882.50988;12.85864;2098.869993;1.264365413;0.094101754;0.006129941;5433.000482;-1.573971;1221.386507;1343.552777
15;11;10.3;31;12882.15699;12.858854;2099.056642;1.264374322;0.094102483;0.006130004;5433.622049;-1.574789;1219.647873;1342.499318
15;11;10.3;33.5;12881.52364;12.85933;2099.465552;1.264397511;0.094104081;0.006130159;5434.970169;-1.574143;1215.889249;1340.236754
15;11;10.2;33.5;12890.31703;12.860518;2098.885761;1.264610842;0.094104891;0.006131159;5432.682503;-4.442642;1216.383673;1341.250827
15;11;10.2;31;12890.95064;12.860038;2098.475312;1.26458756;0.094103293;0.006131004;5431.322715;-4.441584;1220.143715;1343.514798
15;11;10.2;29.79;12891.30361;12.859823;2098.287934;1.264578606;0.094102564;0.00613094;5430.695771;-4.439936;1221.882999;1344.568868
15;11;10.2;28;12890.50201;12.859418;2098.009581;1.264529464;0.094101392;0.00613068;5429.856419;-4.437869;1224.271881;1345.858721
15;11;10.2;26.5;12889.86747;12.859094;2097.786669;1.26449036;0.094100458;0.006130472;5429.181969;-4.434983;1226.180494;1346.889229
15;11;10.2;25;12889.26208;12.858775;2097.570986;1.26444877;0.094099546;0.006130254;5428.537719;-4.431297;1228.007642;1347.857655
15;11.5;10.2;25;12928.47294;12.886444;2093.82208;1.265355195;0.094102923;0.006134502;5420.130988;-6.149817;1230.305509;1346.109465
15;11.5;10.2;26.5;12928.99711;12.886755;2094.037219;1.265390507;0.09410381;0.006134691;5420.814194;-6.15361;1228.462375;1345.101126
15;11.5;10.2;28;12929.54829;12.887079;2094.261337;1.265427431;0.094104735;0.006134888;5421.524094;-6.156648;1226.546489;1344.053193
15;11.5;10.2;29.79;12930.24277;12.887484;2094.54138;1.265473775;0.094105895;0.006135135;5422.408686;-6.159272;1224.148332;1342.74074
15;11.5;10.2;31;12929.98711;12.887713;2094.732193;1.265485622;0.094106634;0.006135212;5423.060917;-6.16136;1222.412881;1341.698677
15;11.5;10.2;33.5;12929.53486;12.888227;2095.151381;1.265518419;0.094108267;0.006135413;5424.472488;-6.163723;1218.667964;1339.477969
15;11.5;10.3;33.5;12920.72862;12.886963;2095.657519;1.265301555;0.094107441;0.006134396;5426.710228;-3.227963;1218.170289;1338.316364
15;11.5;10.3;31;12921.18398;12.886459;2095.241423;1.265272953;0.094105824;0.006134215;5425.304058;-3.226641;1221.922553;1340.558747
15;11.5;10.3;29.79;12921.43629;12.886224;2095.049968;1.265256985;0.094105069;0.006134119;5424.662486;-3.225407;1223.648424;1341.57717
15;11.5;10.3;28;12920.74179;12.885821;2094.771039;1.265210709;0.094103909;0.006133872;5423.785153;-3.223686;1226.045657;1342.889028
15;11.5;10.3;26.5;12920.19063;12.885499;2094.547832;1.265173843;0.094102984;0.006133675;5423.081103;-3.221408;1227.960808;1343.936517
15;11.5;10.3;25;12919.66652;12.885189;2094.333583;1.265138587;0.094102098;0.006133486;5422.403549;-3.218381;1229.803239;1344.944455
15;11.5;10.4;25;12910.90897;12.884057;2094.942837;1.264927863;0.094101297;0.006132498;5424.845795;-0.289273;1229.307866;1343.953702
15;11.5;10.4;26.5;12911.43635;12.884373;2095.15757;1.264967228;0.0941022;0.006132706;5425.511231;-0.291327;1227.475099;1342.969415
15;11.5;10.4;28;12911.98751;12.884693;2095.379808;1.265004048;0.094103124;0.006132903;5426.20852;-0.292844;1225.560684;1341.922457
15;11.5;10.4;29.79;12912.68208;12.885094;2095.65756;1.265050297;0.094104284;0.00613315;5427.077413;-0.293663;1223.164439;1340.611466
15;11.5;10.4;31;12912.4265;12.88532;2095.846733;1.265062058;0.094105023;0.006133226;5427.718796;-0.294497;1221.430295;1339.570401
15;11.5;10.4;33.5;12911.97128;12.88582;2096.260993;1.265090519;0.09410664;0.006133406;5429.112422;-0.294539;1217.679354;1337.328918
15;11.5;10.5;33.5;12903.26507;12.8848;2096.96262;1.264885424;0.094105864;0.006132445;5431.674081;2.636448;1217.195349;1336.518509
15;11.5;10.5;31;12903.7201;12.884303;2096.550318;1.264857083;0.094104248;0.006132265;5430.294708;2.63521;1220.944938;1338.75895
15;11.5;10.5;29.79;12903.97564;12.884079;2096.36206;1.264845379;0.094103509;0.006132189;5429.659877;2.635419;1222.678461;1339.799561
15;11.5;10.5;28;12903.28106;12.883681;2096.085587;1.26479924;0.094102349;0.006131943;5428.800403;2.63534;1225.07389;1341.110071
15;11.5;10.5;26.5;12902.72988;12.883362;2095.864372;1.264762457;0.094101425;0.006131746;5428.110759;2.636096;1226.987543;1342.15638
15;11.5;10.5;25;12902.20585;12.883056;2095.652076;1.264727313;0.094100539;0.006131558;5427.447061;2.637596;1228.828599;1343.163392
15;11.5;10.63;25;12890.96766;12.881952;2096.72082;1.264470249;0.09409957;0.006130353;5431.071762;6.438446;1228.204631;1342.375631
