Ground Distance, Horizontal Forces
3274.015700, 4862.780491
3279.707675, 4862.673763
3285.399650, 4862.567036
3291.091625, 4862.460308
3296.783600, 4862.353581
3302.475575, 4862.246853
3308.167551, 4862.140125
3313.859526, 4862.033398
3319.551755, 4862.195384
3325.244006, 4862.380276
3330.936257, 4862.565168
3336.628508, 4862.750060
3342.320759, 4862.934951
3348.013010, 4863.119843
3353.705261, 4863.304735
3359.397512, 4863.489626
3365.089763, 4863.674518
3370.782014, 4863.859410
3376.474509, 4863.513170
3382.167025, 4863.121657
3387.859541, 4862.730144
3393.552057, 4862.338630
3399.244573, 4861.947117
3404.937089, 4861.555604
3410.629605, 4861.164091
3416.322121, 4860.772578
3422.014637, 4860.381064
3427.707153, 4859.989551
3433.399947, 4860.136376
3439.092766, 4860.329089
3444.785584, 4860.521802
3450.478402, 4860.714515
3456.171221, 4860.907228
3461.864039, 4861.099940
3467.556857, 4861.292653
3473.249675, 4861.485366
3478.942494, 4861.678079
3484.635312, 4861.870792
3490.328404, 4861.790339
3496.021520, 4861.686601
3501.714636, 4861.582863
3507.407751, 4861.479125
3513.100867, 4861.375388
3518.793982, 4861.271650
3524.487098, 4861.167912
3530.180214, 4861.064174
3535.873329, 4860.960436
3541.566445, 4860.856699
3547.259809, 4861.017823
3552.953195, 4861.201524
3558.646581, 4861.385225
3564.339966, 4861.568926
3570.033352, 4861.752627
3575.726738, 4861.936328
3581.420123, 4862.120029
3587.113509, 4862.303730
3592.806895, 4862.487431
3598.500280, 4862.671132
3604.193905, 4862.323007
3609.887550, 4861.929550
3615.581194, 4861.536092
3621.274839, 4861.142635
3626.968484, 4860.749178
3632.662129, 4860.355720
3638.355774, 4859.962263
3644.049419, 4859.568806
3649.743064, 4859.175348
3655.436709, 4858.781891
3661.130628, 4858.927783
3666.824570, 4859.119649
3672.518513, 4859.311515
3678.212455, 4859.503381
3683.906398, 4859.695247
3689.600340, 4859.887113
3695.294282, 4860.078979
3700.988225, 4860.270845
3706.682167, 4860.462711
3712.376110, 4860.654577
3718.070323, 4860.573100
3723.764560, 4860.468323
3729.458796, 4860.363546
3735.153032, 4860.258769
3740.847269, 4860.153992
3746.541505, 4860.049215
3752.235742, 4859.944438
3757.929978, 4859.839661
3763.624214, 4859.734884
3769.318451, 4859.630107
3775.012934, 4859.790873
3780.707439, 4859.974273
3786.401944, 4860.157673
3792.096448, 4860.341073
3797.790953, 4860.524473
3803.485458, 4860.707873
3809.179962, 4860.891273
3814.874467, 4861.074673
3820.568972, 4861.258073
3826.263476, 4861.441473
3831.958220, 4861.092522
3837.652983, 4860.698193
3843.347747, 4860.303865
3849.042511, 4859.909536
3854.737275, 4859.515208
3860.432039, 4859.120879
3866.126802, 4858.726551
3871.821566, 4858.332222
3877.516330, 4857.937893
3883.211094, 4857.543565
3888.906133, 4857.689698
3894.601197, 4857.881901
3900.296260, 4858.074103
3905.991323, 4858.266306
3911.686386, 4858.458508
3917.381450, 4858.650710
3923.076513, 4858.842913
3928.771576, 4859.035115
3934.466639, 4859.227318
3940.161702, 4859.419520
3945.857040, 4859.338236
3951.552401, 4859.233640
3957.247761, 4859.129044
3962.943122, 4859.024448
3968.638483, 4858.919852
3974.333844, 4858.815256
3980.029204, 4858.710660
3985.724565, 4858.606063
3991.419926, 4858.501467
3997.115287, 4858.396871
4002.810899, 4858.558466
4008.506533, 4858.742751
4014.202168, 4858.927036
4019.897802, 4859.111321
4025.593436, 4859.295605
4031.289070, 4859.479890
4036.984704, 4859.664175
4042.680338, 4859.848460
4048.375972, 4860.032745
4054.071607, 4860.217029
4059.767449, 4859.851803
4065.463308, 4859.439736
4071.159168, 4859.027668
4076.855028, 4858.615601
4082.550888, 4858.203534
4088.246747, 4857.791467
4093.942607, 4857.379400
4099.638467, 4856.967333
4105.334326, 4856.555266
4111.030186, 4856.143199
4116.726236, 4856.277696
4122.422302, 4856.458783
4128.118367, 4856.639870
4133.814433, 4856.820957
4139.510499, 4857.002043
4145.206565, 4857.183130
4150.902631, 4857.364217
4156.598697, 4857.545303
4162.294762, 4857.726390
4167.990828, 4857.907477
4173.687116, 4858.083346
4179.383423, 4858.258770
4185.079730, 4858.434195
4190.776036, 4858.609619
4196.472343, 4858.785044
4202.168650, 4858.960468
4207.864957, 4859.135892
4213.561264, 4859.311317
4219.257570, 4859.486741
4224.953877, 4859.662166
4230.650379, 4859.303056
4236.346897, 4858.898382
4242.043415, 4858.493708
4247.739933, 4858.089035
4253.436451, 4857.684361
4259.132970, 4857.279687
4264.829488, 4856.875014
4270.526006, 4856.470340
4276.222524, 4856.065666
4281.919042, 4855.660993
4287.615790, 4855.797953
4293.312557, 4855.981083
4299.009324, 4856.164212
4304.706091, 4856.347342
4310.402858, 4856.530471
4316.099625, 4856.713601
4321.796392, 4856.896730
4327.493160, 4857.079860
4333.189927, 4857.262989
4338.886694, 4857.446119
4344.583688, 4857.622101
4350.280703, 4857.797474
4355.977717, 4857.972846
4361.674731, 4858.148219
4367.371745, 4858.323592
4373.068759, 4858.498965
4378.765773, 4858.674338
4384.462787, 4858.849711
4390.159801, 4859.025084
4395.856815, 4859.200457
4401.554048, 4858.858308
4407.251299, 4858.472046
4412.948550, 4858.085785
4418.645801, 4857.699523
4424.343052, 4857.313261
4430.040303, 4856.926999
4435.737554, 4856.540737
4441.434805, 4856.154476
4447.132056, 4855.768214
4452.829307, 4855.381952
4458.526905, 4855.532990
4464.224531, 4855.729828
4469.922158, 4855.926666
4475.619785, 4856.123504
4481.317411, 4856.320342
4487.015038, 4856.517179
4492.712665, 4856.714017
4498.410292, 4856.910855
4504.107918, 4857.107693
4509.805545, 4857.304530
4515.503490, 4856.975374
4521.201461, 4856.601382
4526.899433, 4856.227390
4532.597405, 4855.853398
4538.295376, 4855.479406
4543.993348, 4855.105414
4549.691320, 4854.731421
4555.389292, 4854.357429
4561.087263, 4853.983437
4566.785235, 4853.609445
4572.483634, 4853.780104
4578.182070, 4853.997189
4583.880506, 4854.214273
4589.578941, 4854.431358
4595.277377, 4854.648443
4600.975813, 4854.865528
4606.674249, 4855.082612
4612.372684, 4855.299697
4618.071120, 4855.516782
4623.769556, 4855.733866
4629.468400, 4855.675853
4635.167279, 4855.594390
4640.866157, 4855.512927
4646.565036, 4855.431465
4652.263915, 4855.350002
4657.962794, 4855.268539
4663.661673, 4855.187076
4669.360552, 4855.105614
4675.059431, 4855.024151
4680.758310, 4854.942688
4686.457569, 4855.127045
4692.156860, 4855.334060
4697.856152, 4855.541075
4703.555443, 4855.748090
4709.254735, 4855.955106
4714.954026, 4856.162121
4720.653318, 4856.369136
4726.352609, 4856.576151
4732.051901, 4856.783167
4737.751192, 4856.990182
4743.450873, 4856.678399
4749.150587, 4856.322395
4754.850300, 4855.966390
4760.550014, 4855.610386
4766.249728, 4855.254381
4771.949442, 4854.898377
4777.649155, 4854.542372
4783.348869, 4854.186367
4789.048583, 4853.830363
4794.748296, 4853.474358
4800.448523, 4853.655419
4806.148793, 4853.882260
4811.849063, 4854.109101
4817.549333, 4854.335941
4823.249603, 4854.562782
4828.949872, 4854.789622
4834.650142, 4855.016463
4840.350412, 4855.243304
4846.050682, 4855.470144
4851.750952, 4855.696985
4857.451695, 4855.387067
4863.152478, 4855.031396
4868.853262, 4854.675725
4874.554045, 4854.320054
4880.254828, 4853.964383
4885.955611, 4853.608712
4891.656394, 4853.253041
4897.357178, 4852.897370
4903.057961, 4852.541699
4908.758744, 4852.186028
4914.460028, 4852.371962
4920.161354, 4852.604061
4925.862681, 4852.836161
4931.564007, 4853.068260
4937.265333, 4853.300360
4942.966660, 4853.532459
4948.667986, 4853.764559
4954.369313, 4853.996658
4960.070639, 4854.228758
4965.771965, 4854.460858
4971.473798, 4854.164147
4977.175673, 4853.822360
4982.877548, 4853.480573
4988.579423, 4853.138787
4994.281299, 4852.797000
4999.983174, 4852.455213
5005.685049, 4852.113427
5011.386924, 4851.771640
5017.088800, 4851.429853
5022.790675, 4851.088066
5028.493155, 4851.290254
5034.195688, 4851.538809
5039.898220, 4851.787365
5045.600752, 4852.035920
5051.303284, 4852.284476
5057.005816, 4852.533031
5062.708348, 4852.781587
5068.410881, 4853.030142
5074.113413, 4853.278698
5079.815945, 4853.527253
5085.519072, 4853.246629
5091.222250, 4852.920898
5096.925428, 4852.595166
5102.628605, 4852.269435
5108.331783, 4851.943703
5114.034961, 4851.617972
5119.738139, 4851.292240
5125.441317, 4850.966509
5131.144495, 4850.640777
5136.847673, 4850.315046
5142.551543, 4850.533131
5148.255473, 4850.797572
5153.959403, 4851.062012
5159.663333, 4851.326453
5165.367263, 4851.590893
5171.071193, 4851.855334
5176.775123, 4852.119774
5182.479053, 4852.384215
5188.182983, 4852.648656
5193.886913, 4852.913096
5199.591484, 4852.624411
5205.296110, 4852.288577
5211.000736, 4851.952744
5216.705362, 4851.616910
5222.409988, 4851.281077
5228.114615, 4850.945243
5233.819241, 4850.609410
5239.523867, 4850.273576
5245.228493, 4849.937743
5250.933119, 4849.601909
5256.638367, 4849.813711
5262.343667, 4850.072194
5268.048968, 4850.330676
5273.754269, 4850.589158
5279.459569, 4850.847641
5285.164870, 4851.106123
5290.870171, 4851.364605
5296.575472, 4851.623088
5302.280772, 4851.881570
5307.986073, 4852.140052
5313.691984, 4851.845024
5319.397948, 4851.502815
5325.103911, 4851.160606
5330.809874, 4850.818397
5336.515838, 4850.476188
5342.221801, 4850.133979
5347.927764, 4849.791770
5353.633728, 4849.449561
5359.339691, 4849.107352
5365.045654, 4848.765143
5370.752211, 4848.971633
5376.458817, 4849.224895
5382.165424, 4849.478156
5387.872030, 4849.731417
5393.578637, 4849.984679
5399.285243, 4850.237940
5404.991850, 4850.491201
5410.698456, 4850.744462
5416.405063, 4850.997724
5422.111670, 4851.250985
5427.818862, 4850.949959
5433.526103, 4850.601685
5439.233345, 4850.253411
5444.940587, 4849.905137
5450.647829, 4849.556863
5456.355071, 4849.208589
5462.062313, 4848.860316
5467.769555, 4848.512042
5473.476797, 4848.163768
5479.184039, 4847.815494
5484.891844, 4848.017086
5490.599696, 4848.265548
5496.307549, 4848.514010
5502.015402, 4848.762472
5507.723254, 4849.010935
5513.431107, 4849.259397
5519.138960, 4849.507859
5524.846812, 4849.756321
5530.554665, 4850.004783
5536.262518, 4850.253246
5541.970969, 4849.971058
5547.679472, 4849.643638
5553.387974, 4849.316217
5559.096477, 4848.988797
5564.804979, 4848.661377
5570.513482, 4848.333957
5576.221984, 4848.006537
5581.930487, 4847.679116
5587.638989, 4847.351696
5593.347492, 4847.024276
5599.056696, 4847.243649
5604.765960, 4847.509631
5610.475224, 4847.775613
5616.184488, 4848.041595
5621.893751, 4848.307577
5627.603015, 4848.573559
5633.312279, 4848.839540
5639.021543, 4849.105522
5644.730807, 4849.371504
5650.440071, 4849.637486
5656.149988, 4849.348731
5661.859962, 4849.012691
5667.569935, 4848.676650
5673.279909, 4848.340610
5678.989882, 4848.004569
5684.699856, 4847.668529
5690.409829, 4847.332488
5696.119803, 4846.996447
5701.829776, 4846.660407
5707.539750, 4846.324366
5713.250360, 4846.538792
5718.961026, 4846.800138
5724.671691, 4847.061485
5730.382356, 4847.322832
5736.093021, 4847.584179
5741.803687, 4847.845526
5747.514352, 4848.106873
5753.225017, 4848.368220
5758.935683, 4848.629566
5764.646348, 4848.890913
5770.357642, 4848.596899
5776.068991, 4848.255545
5781.780339, 4847.914191
5787.491687, 4847.572838
5793.203035, 4847.231484
5798.914384, 4846.890130
5804.625732, 4846.548777
5810.337080, 4846.207423
5816.048429, 4845.866069
5821.759777, 4845.524716
5827.471739, 4845.734622
5833.183753, 4845.991517
5838.895767, 4846.248412
5844.607781, 4846.505307
5850.319795, 4846.762202
5856.031809, 4847.019097
5861.743822, 4847.275993
5867.455836, 4847.532888
5873.167850, 4847.789783
5878.879864, 4848.046678
5884.592486, 4847.747112
5890.305159, 4847.400114
5896.017832, 4847.053115
5901.730505, 4846.706117
5907.443178, 4846.359118
5913.155851, 4846.012120
5918.868525, 4845.665121
5924.581198, 4845.318123
5930.293871, 4844.971124
5936.006544, 4844.624126
5941.719802, 4844.829245
5947.433110, 4845.081427
5953.146417, 4845.333608
5958.859725, 4845.585790
5964.573033, 4845.837972
5970.286341, 4846.090153
5975.999649, 4846.342335
5981.712956, 4846.594516
5987.426264, 4846.846698
5993.139572, 4847.098880
5998.853500, 4846.817965
6004.567481, 4846.491610
6010.281462, 4846.165254
6015.995443, 4845.838898
6021.709424, 4845.512543
6027.423405, 4845.186187
6033.137386, 4844.859831
6038.851367, 4844.533476
6044.565349, 4844.207120
6050.279330, 4843.880765
6055.994032, 4844.103167
6061.708797, 4844.372345
6067.423561, 4844.641524
6073.138326, 4844.910702
6078.853090, 4845.179880
6084.567855, 4845.449059
6090.282619, 4845.718237
