Ground Distance, Speed
1154.968660,   63.927988
1155.651384,   63.930858
1156.346256,   63.933736
1157.043283,   63.936578
1157.745545,   63.939396
1158.437194,   63.942127
1159.135651,   63.944840
1159.841551,   63.947537
1160.542549,   63.950171
1160.927600,   63.951598
