Time, Energies
   2.048018, 20485210.193161
   2.048046, 20541105.161514
   2.048074, 20597000.548112
   2.048102, 20652896.352954
   2.048129, 20708792.576040
   2.048157, 20764689.217371
   2.048185, 20820586.276945
   2.048213, 20876482.138201
   2.048241, 20932378.093096
   2.048268, 20988274.455906
   2.048296, 21044171.226630
   2.048324, 21100068.405269
   2.048352, 21155965.991821
   2.048379, 21211863.986289
   2.048407, 21267762.388670
   2.048435, 21323661.198966
   2.048463, 21379560.417176
   2.048491, 21435430.056495
   2.048518, 21491294.086996
   2.048546, 21547158.338786
   2.048574, 21603022.811864
   2.048602, 21658887.506231
   2.048629, 21714752.421887
   2.048657, 21770617.558831
   2.048685, 21826482.917064
   2.048713, 21882348.496586
   2.048741, 21938214.297396
   2.048768, 21994074.824146
   2.048796, 22049934.470363
   2.048824, 22105794.304536
   2.048852, 22161654.326664
   2.048879, 22217514.536748
   2.048907, 22273374.934788
   2.048935, 22329235.520784
   2.048963, 22385096.294736
   2.048991, 22440957.256644
   2.049018, 22496818.406508
   2.049046, 22552678.899572
   2.049074, 22608539.411334
   2.049102, 22664400.106055
   2.049129, 22720260.983734
   2.049157, 22776122.044373
   2.049185, 22831983.287970
   2.049213, 22887844.714525
   2.049241, 22943706.324040
   2.049268, 22999568.116513
   2.049296, 23055430.091945
   2.049324, 23111307.887242
   2.049352, 23167188.996504
   2.049379, 23223070.378991
   2.049407, 23278952.034702
   2.049435, 23334833.963637
   2.049463, 23390716.165797
   2.049491, 23446598.641182
   2.049518, 23502481.389791
   2.049546, 23558364.411624
   2.049574, 23614247.706682
   2.049602, 23670118.011108
   2.049629, 23725985.934572
   2.049657, 23781854.056498
   2.049685, 23837722.376889
   2.049713, 23893590.895742
   2.049741, 23949459.613058
   2.049768, 24005328.528838
   2.049796, 24061197.643081
   2.049824, 24117066.955788
   2.049852, 24172936.466957
   2.049879, 24228809.317882
   2.049907, 24284682.995490
   2.049935, 24340556.888858
   2.049963, 24396430.997988
   2.049991, 24452305.322879
   2.050018, 24508179.863531
   2.050046, 24564054.619943
   2.050074, 24619929.592117
   2.050102, 24675804.780052
   2.050129, 24731680.183748
   2.050157, 24787576.127149
   2.050185, 24843476.348529
   2.050213, 24899376.895066
   2.050241, 24955277.766759
   2.050268, 25011178.963608
   2.050296, 25067080.485613
   2.050324, 25122982.332774
   2.050352, 25178884.505091
   2.050379, 25234787.002564
   2.050407, 25290689.825193
   2.050435, 25346581.676123
