Ground Distance, Angular Velocity
2529.703103,    1.338413
2530.809365,    1.349624
2531.918201,    1.360857
2533.022618,    1.372086
2534.131337,    1.383286
2535.245335,    1.394524
2536.357320,    1.405783
2537.469757,    1.409120
2538.587628,    1.412469
2539.700550,    1.415799
2540.816376,    1.419133
2541.935138,    1.422471
2543.055286,    1.425809
2544.172520,    1.429134
2545.295702,    1.432472
2546.419971,    1.435810
2547.549409,    1.439157
2548.672580,    1.442482
2549.798454,    1.445811
2550.928836,    1.449148
2552.064215,    1.452495
2553.197698,    1.455832
2554.331400,    1.459166
2555.468436,    1.462504
2556.605569,    1.465839
2557.744833,    1.469174
2558.883956,    1.472505
2560.019288,    1.475821
2561.160685,    1.479149
2562.308006,    1.482490
2563.450413,    1.485812
2564.597380,    1.489143
2565.749250,    1.492483
2566.896795,    1.495806
2568.046496,    1.499131
2569.198330,    1.502457
2570.352472,    1.505785
2571.505782,    1.509106
2572.663763,    1.512436
2573.825273,    1.515771
2574.987820,    1.519104
2576.154745,    1.522445
2577.316384,    1.525766
2578.481888,    1.529094
2579.644569,    1.532408
2580.812717,    1.535734
2581.983463,    1.539061
2583.159607,    1.542400
2584.331335,    1.545721
2585.501198,    1.549031
2586.678236,    1.552358
2587.856471,    1.555682
2589.035951,    1.559006
2590.218523,    1.562333
2591.400542,    1.565653
2592.588756,    1.568986
2593.773943,    1.572306
2594.960728,    1.575625
2596.152701,    1.578953
2597.346642,    1.582282
2598.537044,    1.585597
2599.735747,    1.588929
2600.932874,    1.592251
2602.130626,    1.595571
2603.328541,    1.598886
2603.568234,    1.599548
2604.105025,    1.601032
2604.150293,    1.601157
2604.186530,    1.601257
2604.216742,    1.601340
2604.237087,    1.601396
2604.254951,    1.601446
2604.271834,    1.601492
2604.286779,    1.601534
2604.292076,    1.601548
2604.295300,    1.601557
2604.297230,    1.601562
2604.298986,    1.601567
2604.312219,    1.601604
2604.364356,    1.601748
2604.528595,    1.602202
2605.164017,    1.603956
2606.209635,    1.606840
2607.420463,    1.610175
2608.627840,    1.613496
2609.839808,    1.616824
2611.053801,    1.620152
2612.266101,    1.623470
2613.478118,    1.626783
2614.690919,    1.630092
2615.905249,    1.633401
2617.123589,    1.636715
2618.341822,    1.640024
2619.571024,    1.643357
2620.792700,    1.646665
2622.016843,    1.649974
2623.245158,    1.653289
2624.478280,    1.656612
2625.710798,    1.659927
2626.952470,    1.663262
2628.187941,    1.666575
2629.423919,    1.669884
2630.665349,    1.673202
2631.911755,    1.676528
2632.330213,    1.677669
2633.161112,    1.679857
2634.410031,    1.683179
2635.663904,    1.686508
2636.913427,    1.689821
2638.166475,    1.693137
2639.425461,    1.696464
2640.681076,    1.699776
2641.943125,    1.703099
2643.210078,    1.706430
2644.480994,    1.709766
2645.747095,    1.713083
2647.015170,    1.716400
2648.285888,    1.719718
2649.560585,    1.723041
2650.837085,    1.726363
2652.121513,    1.729699
2653.405734,    1.733030
2654.684890,    1.736341
2655.973278,    1.739671
2657.258695,    1.742987
2658.544909,    1.746300
2659.835972,    1.749619
2661.133076,    1.752948
2662.430174,    1.756271
2663.736477,    1.759611
2665.045946,    1.762954
2666.350944,    1.766279
2667.658739,    1.769606
2668.967144,    1.772928
2670.287395,    1.776274
2671.609748,    1.779619
2672.931235,    1.782956
2674.251822,    1.786285
2675.579342,    1.789625
2676.913402,    1.792975
2678.246356,    1.796316
2679.584362,    1.799664
2680.917235,    1.802993
2682.252586,    1.806321
2683.593859,    1.809659
2684.940511,    1.813003
2686.291113,    1.816351
2687.641274,    1.819691
2688.998832,    1.823043
2690.351724,    1.826377
2691.707467,    1.829712
2693.063812,    1.833042
2694.423136,    1.836373
2695.788655,    1.839712
2697.157110,    1.843053
2698.522925,    1.846380
2699.895592,    1.849717
2701.263956,    1.853038
2702.637210,    1.856363
2704.026576,    1.859722
2705.413619,    1.863067
2706.796583,    1.866397
2708.185651,    1.869734
2709.584064,    1.873087
2710.979964,    1.876427
2712.378936,    1.879768
2713.776574,    1.883099
2715.168120,    1.886408
2716.570352,    1.889736
2717.983100,    1.893083
2719.397007,    1.896425
2720.812910,    1.899764
2722.227447,    1.903094
2723.648026,    1.906431
2725.066823,    1.909757
2726.477738,    1.913057
2727.913752,    1.916409
2729.332690,    1.919714
2730.773923,    1.923064
2732.215697,    1.926408
2733.651015,    1.929729
2735.092967,    1.933059
2736.533186,    1.936378
2737.981159,    1.939708
2739.430373,    1.943033
2740.895510,    1.946387
2742.356090,    1.949723
2743.826379,    1.953074
2745.296605,    1.956418
2746.760197,    1.959739
2748.226025,    1.963057
2749.704690,    1.966397
2751.183147,    1.969729
2752.664031,    1.973059
2754.137029,    1.976364
2755.619981,    1.979684
2757.106103,    1.983003
2758.601420,    1.986335
2760.090506,    1.989645
2761.594799,    1.992982
2763.091267,    1.996293
2764.596414,    1.999616
2766.092574,    2.002911
2767.598508,    2.006220
2769.111258,    2.009536
2770.623917,    2.012844
2772.148714,    2.016170
2773.671545,    2.019484
2775.196451,    2.022795
2776.727925,    2.026112
2778.237835,    2.029375
2779.780322,    2.032699
2781.319178,    2.036008
2782.865615,    2.039325
2784.410776,    2.042631
2785.950485,    2.045917
2787.503305,    2.049223
2789.066406,    2.052542
2790.625316,    2.055844
2792.179112,    2.059127
2793.742697,    2.062422
2795.303246,    2.065703
2796.860625,    2.068969
2798.426403,    2.072243
2800.003542,    2.075533
2801.579391,    2.078812
2803.155555,    2.082083
2804.748305,    2.085380
2806.334995,    2.088656
2807.929340,    2.091939
2809.534788,    2.095236
2811.140835,    2.098525
2812.729533,    2.101770
2814.323833,    2.105018
2815.941751,    2.108305
2817.549987,    2.111563
2819.161665,    2.114820
2820.784423,    2.118090
2822.392487,    2.121322
2824.011905,    2.124568
2825.637755,    2.127817
2827.270253,    2.131071
2828.902423,    2.134315
2830.534781,    2.137550
2832.169263,    2.140780
2833.812562,    2.144019
2835.452284,    2.147242
2837.090585,    2.150452
