Time, xLDot = m(hdotc - hdot)
 159.000000, 3718.721975
 159.500000, 3675.883671
 160.000000, 3633.481588
 160.500000, 3591.511235
 161.000000, 3549.968172
 161.500000, 3508.848006
 162.000000, 3468.146393
 162.500000, 3427.859035
 163.000000, 3387.981683
 163.500000, 3348.510134
 164.000000, 3309.440230
 164.500000, 3270.767857
 165.000000, 3232.488949
 165.500000, 3194.599481
 166.000000, 3157.095473
 166.500000, 3119.972987
 167.000000, 3083.228129
 167.500000, 3046.857045
 168.000000, 3010.855923
 168.500000, 2975.220994
 169.000000, 2939.948526
 169.500000, 2905.034828
 170.000000, 2870.476251
 170.500000, 2836.269180
 171.000000, 2802.410044
 171.500000, 2768.895305
 172.000000, 2735.721466
 172.500000, 2702.885065
 173.000000, 2670.382677
 173.500000, 2638.210915
 174.000000, 2606.366425
 174.500000, 2574.845889
 175.000000, 2543.646026
 175.500000, 2512.763587
 176.000000, 2482.195358
 176.500000, 2451.938159
 177.000000, 2421.988842
 177.500000, 2392.344293
 178.000000, 2363.001430
 178.500000, 2333.957203
 179.000000, 2305.208595
 179.500000, 2276.752618
 180.000000, 2248.586317
