Vfailure/VsTO, VRot/VsTO
   1.120821,    1.089363
   1.121522,    1.089015
   1.122222,    1.088667
   1.122923,    1.088318
   1.123624,    1.087970
   1.124324,    1.087622
   1.125025,    1.087273
   1.125726,    1.086925
   1.126426,    1.086577
   1.127127,    1.086228
   1.127828,    1.085880
   1.128529,    1.085532
   1.129229,    1.085183
   1.129930,    1.084835
   1.130631,    1.084486
   1.131331,    1.084138
   1.132032,    1.083790
   1.132733,    1.083441
   1.133433,    1.083093
   1.134134,    1.082745
   1.134835,    1.082396
   1.135536,    1.082048
   1.136236,    1.081700
   1.136937,    1.081351
   1.137638,    1.081003
   1.138338,    1.080655
   1.139039,    1.080306
   1.139740,    1.079958
   1.140440,    1.079610
   1.141141,    1.079261
   1.141842,    1.078913
   1.142543,    1.078565
   1.143243,    1.078216
   1.143944,    1.077868
   1.144645,    1.077520
   1.145345,    1.077171
   1.146046,    1.076823
   1.146747,    1.076474
   1.147447,    1.076126
   1.148148,    1.075778
   1.148849,    1.075429
   1.149550,    1.075081
   1.150250,    1.074733
   1.150951,    1.074384
   1.151652,    1.074036
   1.152352,    1.073688
   1.153053,    1.073339
   1.153754,    1.072991
   1.154454,    1.072643
   1.155155,    1.072294
   1.155856,    1.071946
   1.156557,    1.071598
   1.157257,    1.071249
   1.157958,    1.070901
   1.158659,    1.070553
   1.159359,    1.070204
   1.160060,    1.069856
   1.160761,    1.069508
   1.161461,    1.069159
   1.162162,    1.068811
   1.162863,    1.068462
   1.163564,    1.068114
   1.164264,    1.067766
   1.164965,    1.067417
   1.165666,    1.067069
   1.166366,    1.066721
   1.167067,    1.066372
   1.167768,    1.066024
   1.168468,    1.065676
   1.169169,    1.065327
   1.169870,    1.064979
   1.170571,    1.064631
   1.171271,    1.064282
   1.171972,    1.063934
   1.172673,    1.063586
   1.173373,    1.063237
   1.174074,    1.062889
   1.174775,    1.062541
   1.175475,    1.062192
   1.176176,    1.061844
   1.176877,    1.061495
   1.177578,    1.061147
   1.178278,    1.060799
   1.178979,    1.060450
   1.179680,    1.060102
   1.180380,    1.059754
   1.181081,    1.059405
   1.181782,    1.059057
   1.182482,    1.058709
   1.183183,    1.058360
   1.183884,    1.058012
   1.184585,    1.057664
   1.185285,    1.057315
   1.185986,    1.056967
   1.186687,    1.056619
   1.187387,    1.056270
   1.188088,    1.055922
   1.188789,    1.055574
   1.189489,    1.055225
   1.190190,    1.054877
   1.190891,    1.054529
   1.191592,    1.054180
   1.192292,    1.053832
   1.192993,    1.053483
   1.193694,    1.053135
   1.194394,    1.052787
   1.195095,    1.052438
   1.195796,    1.052090
   1.196496,    1.051742
   1.197197,    1.051393
   1.197898,    1.051045
   1.198599,    1.050697
   1.199299,    1.050348
   1.200000,    1.050000
