Ground distance, Fuel used
14235.192565,   24.307554
14253.883492,   24.339606
14272.574483,   24.371658
14291.265475,   24.403710
14309.956466,   24.435762
14328.647457,   24.467814
14347.338448,   24.499866
14366.029439,   24.531918
14384.720430,   24.563970
14403.411421,   24.596022
14422.102412,   24.628074
14440.794120,   24.660131
14459.485889,   24.692188
14478.177657,   24.724245
14496.869426,   24.756301
14515.561194,   24.788358
14534.252963,   24.820415
14552.944731,   24.852472
14571.636500,   24.884529
14590.328269,   24.916586
14609.020037,   24.948643
14627.712941,   24.980704
14646.405942,   25.012766
14665.098944,   25.044828
14683.791945,   25.076889
14702.484946,   25.108951
14721.177947,   25.141013
14739.870948,   25.173075
14758.563949,   25.205137
14777.256950,   25.237198
14795.949951,   25.269260
14814.643995,   25.301327
14833.338128,   25.333393
14852.032261,   25.365460
14870.726394,   25.397527
14889.420527,   25.429593
14908.114659,   25.461660
14926.808792,   25.493727
14945.502925,   25.525793
14964.197058,   25.557860
14982.891191,   25.589927
15001.586727,   25.621998
15020.282382,   25.654070
15038.978037,   25.686141
15057.673692,   25.718213
15076.369347,   25.750285
15095.065003,   25.782356
15113.760658,   25.814428
15132.456313,   25.846500
15151.151968,   25.878572
15169.847624,   25.910643
15188.544619,   25.942719
15207.241728,   25.974796
15225.938837,   26.006873
15244.635946,   26.038949
15263.333055,   26.071026
15282.030164,   26.103103
15300.727274,   26.135179
15319.424383,   26.167256
15338.121492,   26.199333
15356.818601,   26.231409
15375.516958,   26.263490
15394.215421,   26.295572
15412.913884,   26.327654
15431.612347,   26.359735
15450.310810,   26.391817
15469.009273,   26.423898
15487.707735,   26.455980
15506.406198,   26.488061
15525.104661,   26.520143
15543.803124,   26.552225
15562.502864,   26.584311
15581.202712,   26.616397
15599.902560,   26.648484
15618.602408,   26.680570
15637.302257,   26.712657
15656.002105,   26.744743
15674.701953,   26.776830
15693.401801,   26.808916
15712.101649,   26.841003
15730.801498,   26.873089
15749.503027,   26.905180
15768.204700,   26.937272
15786.906373,   26.969363
15805.608046,   27.001455
15824.309719,   27.033546
15843.011393,   27.065638
15861.713066,   27.097729
15880.414739,   27.129821
15899.116412,   27.161913
15917.818085,   27.194004
15936.521309,   27.226100
15955.224666,   27.258197
15973.928023,   27.290293
15992.631380,   27.322390
16011.334737,   27.354486
16030.038094,   27.386583
16048.741451,   27.418679
16067.444808,   27.450776
16086.148165,   27.482872
16104.851522,   27.514969
16123.556521,   27.547070
16142.261661,   27.579172
16160.966800,   27.611273
16179.671939,   27.643375
16198.377078,   27.675476
16217.082217,   27.707578
16235.787356,   27.739679
16254.492495,   27.771781
16273.197635,   27.803882
16291.902774,   27.835984
16310.609572,   27.868090
16329.316512,   27.900196
16348.023452,   27.932303
16366.730392,   27.964410
16385.437331,   27.996516
16404.144271,   28.028623
16422.851211,   28.060729
16441.558151,   28.092836
16460.265091,   28.124942
16478.972030,   28.157049
16497.680956,   28.189160
16516.390051,   28.221272
16535.099146,   28.253383
16553.808241,   28.285495
16572.517336,   28.317606
16591.226431,   28.349718
16609.935526,   28.381830
16628.644621,   28.413941
16647.353716,   28.446053
16666.062811,   28.478164
16684.773858,   28.510281
16703.485072,   28.542397
16722.196285,   28.574514
16740.907498,   28.606631
16759.618712,   28.638747
16778.329925,   28.670864
16797.041139,   28.702981
16815.752352,   28.735098
16834.463565,   28.767214
16853.174779,   28.799331
16871.888266,   28.831452
16890.601947,   28.863574
16909.315627,   28.895696
16928.029308,   28.927818
16946.742989,   28.959940
16965.456670,   28.992061
16984.170350,   29.024183
17002.884031,   29.056305
17021.597712,   29.088427
17040.311393,   29.120549
17059.027178,   29.152675
17077.743143,   29.184802
17096.459108,   29.216929
17115.175073,   29.249056
17133.891038,   29.281183
17152.607003,   29.313310
17171.322968,   29.345437
17190.038933,   29.377564
17208.754898,   29.409691
17227.470863,   29.441817
17246.188868,   29.473949
17264.907046,   29.506081
17283.625224,   29.538213
17302.343402,   29.570345
17321.061580,   29.602477
17339.779758,   29.634609
17358.497936,   29.666741
17377.216114,   29.698873
17395.934292,   29.731005
17414.652470,   29.763137
17433.372651,   29.795274
17452.093004,   29.827411
17470.813356,   29.859548
17489.533708,   29.891685
17508.254060,   29.923822
17526.974413,   29.955959
17545.694765,   29.988096
17564.415117,   30.020233
17583.135470,   30.052370
17601.855822,   30.084507
17620.578118,   30.116649
17639.300581,   30.148791
17658.023043,   30.180933
17676.745506,   30.213075
17695.467968,   30.245217
17714.190431,   30.277359
17732.912893,   30.309501
17751.635356,   30.341643
17770.357818,   30.373786
17789.080281,   30.405928
17807.804664,   30.438074
17826.529211,   30.470221
17845.253758,   30.502369
17863.978305,   30.534516
17882.702852,   30.566663
17901.427399,   30.598810
17920.151946,   30.630957
17938.876493,   30.663104
17957.601040,   30.695251
17976.325587,   30.727398
17995.051980,   30.759550
18013.778531,   30.791702
18032.505082,   30.823854
18051.231632,   30.856006
18069.958183,   30.888159
18088.684734,   30.920311
18107.411285,   30.952463
18126.137835,   30.984615
18144.864386,   31.016767
18163.590937,   31.048919
18182.319452,   31.081076
18201.048135,   31.113233
18219.776818,   31.145390
18238.505501,   31.177547
18257.234184,   31.209704
18275.962867,   31.241862
18294.691550,   31.274019
18313.420233,   31.306176
18332.148915,   31.338333
18350.877598,   31.370490
18369.608583,   31.402652
18388.339763,   31.434814
18407.070944,   31.466976
18425.802124,   31.499139
18444.533305,   31.531301
18463.264486,   31.563463
18481.995666,   31.595625
18500.726847,   31.627787
18519.458027,   31.659950
18538.189208,   31.692112
18556.922534,   31.724279
18575.656042,   31.756446
18594.389551,   31.788613
18613.123060,   31.820781
18631.856569,   31.852948
18650.590078,   31.885115
18669.323586,   31.917283
18688.057095,   31.949450
18706.790604,   31.981617
18725.524113,   32.013784
18744.259713,   32.045956
18762.995491,   32.078129
18781.731270,   32.110301
18800.467048,   32.142473
18819.202826,   32.174646
18837.938605,   32.206818
18856.674383,   32.238990
18875.410162,   32.271163
18894.145940,   32.303335
18912.881718,   32.335507
18931.619562,   32.367684
18950.357581,   32.399862
18969.095600,   32.432039
18987.833619,   32.464216
19006.571639,   32.496394
19025.309658,   32.528571
19044.047677,   32.560748
19062.785696,   32.592926
19081.523716,   32.625103
19100.261735,   32.657281
19119.001767,   32.689462
19137.741970,   32.721645
19156.482174,   32.753827
19175.222377,   32.786010
