Ground distance, Rate of Climb
 885.162976,    3.740157
 885.743960,    3.754310
 886.326859,    3.768515
 886.911323,    3.782762
 887.496396,    3.797029
 888.081428,    3.811299
 888.666828,    3.825582
 889.252983,    3.839888
 889.840334,    3.854227
 890.427694,    3.868570
 891.021728,    3.883081
 891.613805,    3.897547
 892.209917,    3.912116
 892.804837,    3.926660
 893.399162,    3.941193
 893.994512,    3.955755
 894.590920,    3.970346
 895.184308,    3.984866
 895.784447,    3.999555
 896.379850,    4.014132
 896.977177,    4.028759
 897.577862,    4.043471
 898.177234,    4.058154
 898.778391,    4.072884
 899.382121,    4.087680
 899.987385,    4.102517
 900.592766,    4.117359
 901.195179,    4.132130
 901.802214,    4.147018
 902.407524,    4.161866
 903.019460,    4.176880
 903.625551,    4.191752
 904.233189,    4.206664
 904.843295,    4.221639
 905.455349,    4.236664
 906.062938,    4.251581
 906.677192,    4.266664
 907.289559,    4.281702
 907.906310,    4.296850
 908.527665,    4.312113
 909.146756,    4.327321
 909.766685,    4.342552
 910.387327,    4.357802
 911.006913,    4.373027
 911.635716,    4.388480
 912.261424,    4.403858
 912.887137,    4.419237
 913.512257,    4.434603
 914.143504,    4.450120
 914.762101,    4.465327
 915.392345,    4.480821
 916.021222,    4.496281
 916.652079,    4.511791
 917.286297,    4.527385
 917.923678,    4.543056
 918.558070,    4.558654
 919.192479,    4.574252
 919.827763,    4.589872
 920.467728,    4.605607
 921.109657,    4.621390
 921.752158,    4.637187
 922.393491,    4.652955
 923.031996,    4.668653
 923.672542,    4.684400
 924.315332,    4.700202
 924.955595,    4.715941
 925.597094,    4.731709
 926.239895,    4.747509
 926.891689,    4.763528
 927.536225,    4.779368
 928.184273,    4.795293
 928.836593,    4.811321
 929.488165,    4.827330
 930.141139,    4.843371
 930.794784,    4.859427
 931.451384,    4.875554
 932.107939,    4.891677
 932.764089,    4.907789
 933.422975,    4.923966
 934.084951,    4.940216
 934.742308,    4.956350
 935.400161,    4.972494
 936.062264,    4.988740
 936.725338,    5.005007
 937.388288,    5.021268
 938.056422,    5.037653
 938.721011,    5.053948
 939.384476,    5.070212
 940.052085,    5.086575
 940.719627,    5.102932
 941.386610,    5.119272
 942.057312,    5.135700
 942.731325,    5.152204
 943.400725,    5.168592
 944.073548,    5.185060
 944.750955,    5.201636
 945.425450,    5.218136
 946.097849,    5.234581
 946.773393,    5.251097
 947.453328,    5.267717
 948.130271,    5.284259
 948.813856,    5.300958
 949.497098,    5.317644
 950.179416,    5.334302
 950.861451,    5.350947
 951.545426,    5.367635
 952.231087,    5.384358
 952.915949,    5.401056
 953.602397,    5.417787
 954.294011,    5.434638
 954.979593,    5.451336
 955.664551,    5.468012
 956.359010,    5.484914
 957.047898,    5.501673
 957.745519,    5.518639
 958.435205,    5.535404
 959.134712,    5.552402
 959.830404,    5.569300
 960.536090,    5.586433
 961.239539,    5.603505
 961.942089,    5.620547
 962.643539,    5.637555
 963.349029,    5.654654
 963.793098,    5.665407
